date	duration	item	month	network	network_type
19/12/14 12:41	18	call	2015-01	Three	mobile
19/12/14 14:48	58	call	2015-01	Meteor	mobile
19/12/14 16:49	48	call	2015-01	Tesco	mobile
19/12/14 16:51	543	call	2015-01	Tesco	mobile
19/12/14 17:00	131	call	2015-01	Three	mobile
19/12/14 18:44	1	sms	2015-01	Vodafone	mobile
20/12/14 06:58	34.429	data	2015-01	data	data
20/12/14 14:39	1	sms	2015-01	Tesco	mobile
20/12/14 15:20	1	sms	2015-01	Tesco	mobile
20/12/14 15:53	553	call	2015-01	Meteor	mobile
20/12/14 16:09	1	sms	2015-01	Tesco	mobile
21/12/14 00:05	54	call	2015-01	Meteor	mobile
21/12/14 06:58	34.429	data	2015-01	data	data
22/12/14 06:58	34.429	data	2015-01	data	data
22/12/14 10:42	489	call	2015-01	Tesco	mobile
22/12/14 11:22	1	sms	2015-01	Vodafone	mobile
22/12/14 11:22	1	sms	2015-01	Meteor	mobile
22/12/14 13:33	46	call	2015-01	Vodafone	mobile
22/12/14 14:09	1	sms	2015-01	Vodafone	mobile
22/12/14 14:15	47	call	2015-01	Vodafone	mobile
22/12/14 18:03	1	sms	2015-01	Vodafone	mobile
22/12/14 18:03	1	sms	2015-01	Vodafone	mobile
22/12/14 18:03	1	sms	2015-01	Vodafone	mobile
22/12/14 19:10	1	sms	2015-01	Vodafone	mobile
22/12/14 19:12	566	call	2015-01	Tesco	mobile
22/12/14 19:35	1	sms	2015-01	Meteor	mobile
22/12/14 19:36	1	sms	2015-01	Meteor	mobile
22/12/14 23:12	956	call	2015-01	Three	mobile
23/12/14 00:57	55	call	2015-01	Tesco	mobile
23/12/14 06:58	34.429	data	2015-01	data	data
23/12/14 09:17	145	call	2015-01	voicemail	voicemail
23/12/14 11:03	40	call	2015-01	landline	landline
23/12/14 12:49	449	call	2015-01	Three	mobile
23/12/14 15:39	1	sms	2015-01	Vodafone	mobile
23/12/14 15:40	37	call	2015-01	landline	landline
23/12/14 15:43	1	sms	2015-01	Vodafone	mobile
23/12/14 19:45	39	call	2015-01	voicemail	voicemail
23/12/14 20:02	28	call	2015-01	landline	landline
23/12/14 21:06	1	sms	2015-01	Vodafone	mobile
24/12/14 06:58	34.429	data	2015-01	data	data
24/12/14 13:22	4	call	2015-01	Three	mobile
24/12/14 13:29	234	call	2015-01	Tesco	mobile
24/12/14 13:56	165	call	2015-01	Three	mobile
24/12/14 13:56	3	call	2015-01	Three	mobile
24/12/14 17:06	1	sms	2015-01	Vodafone	mobile
24/12/14 17:07	37	call	2015-01	Vodafone	mobile
24/12/14 18:44	5	call	2015-01	Meteor	mobile
24/12/14 20:44	4	call	2015-01	Meteor	mobile
24/12/14 23:34	1	sms	2015-01	Three	mobile
25/12/14 06:58	34.429	data	2015-01	data	data
25/12/14 12:27	1	sms	2015-01	Vodafone	mobile
26/12/14 06:58	34.429	data	2015-01	data	data
26/12/14 11:09	101	call	2015-01	voicemail	voicemail
26/12/14 11:48	1	sms	2015-01	Vodafone	mobile
27/12/14 06:58	34.429	data	2015-01	data	data
27/12/14 22:30	1	sms	2015-01	Meteor	mobile
27/12/14 22:30	1	sms	2015-01	Meteor	mobile
27/12/14 22:30	1	sms	2015-01	Meteor	mobile
27/12/14 22:30	1	sms	2015-01	Meteor	mobile
28/12/14 06:58	34.429	data	2015-01	data	data
29/12/14 06:58	34.429	data	2015-01	data	data
29/12/14 12:09	368	call	2015-01	Tesco	mobile
30/12/14 06:58	34.429	data	2015-01	data	data
30/12/14 11:57	1	sms	2015-01	Three	mobile
30/12/14 11:57	1	sms	2015-01	Three	mobile
30/12/14 12:01	1	sms	2015-01	Three	mobile
30/12/14 12:01	1	sms	2015-01	Three	mobile
30/12/14 12:02	1	sms	2015-01	Three	mobile
30/12/14 12:03	1	sms	2015-01	Three	mobile
30/12/14 12:04	1	sms	2015-01	Three	mobile
30/12/14 12:04	1	sms	2015-01	Three	mobile
30/12/14 12:05	1	sms	2015-01	Three	mobile
30/12/14 12:05	1	sms	2015-01	Three	mobile
30/12/14 12:05	1	sms	2015-01	Three	mobile
30/12/14 12:05	1	sms	2015-01	Three	mobile
30/12/14 12:06	1	sms	2015-01	Three	mobile
30/12/14 12:10	1	sms	2015-01	Three	mobile
30/12/14 12:10	1	sms	2015-01	Three	mobile
30/12/14 12:10	1	sms	2015-01	Three	mobile
30/12/14 12:13	1	sms	2015-01	Three	mobile
30/12/14 12:14	1	sms	2015-01	Three	mobile
30/12/14 12:14	1	sms	2015-01	Three	mobile
31/12/14 06:58	34.429	data	2015-01	data	data
31/12/14 13:00	5	call	2015-01	Meteor	mobile
31/12/14 13:03	358	call	2015-01	Meteor	mobile
